REACTION,DELTAG [kJ/mol],UNCERTAINTY [kJ/mol]
ABO8g,-999999,0
ABO9g,-999999,0
ABTArm_for,4.9,2.37
ABTD_for,51.86,5.85
ABTti,0,0
ABUTD,40.48,10.11
ABUTt2r_for,0,0
ABUTt2rL_for,0,0
ABUTt4_2_r_for,0,0
ACACT10m_for,-19.35,4.96
ACACT1r_for,26.83,1.39
ACACT1rm,26.83,1.39
ACACT1x,26.83,1.39
ACACt2_for,0,0
ACACt2m_for,0,0
ACACT4p,-26.9,2.52
ACACT5p,-26.9,2.52
ACACT6p,-26.9,2.52
ACACT7p,-26.9,2.52
ACACT8p,-31.32,3.32
ACACT9p,-26.9,2.52
ACACtx_for,0,0
ACALDt_for,0,0
ACALDtm_for,0,0
ACALDtr_for,0,0
ACALDtx_for,0,0
ACCOAC,35.57,7.7
ACCOACm,35.57,7.7
ACCOAgt_for,0,0
ACCOAL,4.97,4.76
ACCOALm,-10.34,4.73
ACCOAtn_for,0,0
ACCOAtr_for,0,0
ACETONEt2_for,0,0
ACETONEt2m_for,0,0
ACGAGBSIDEtg_for,0,0
ACGAGBSIDEtl_for,0,0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_for,0,0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_for,0,0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_for,0,0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_for,0,0
ACGALK,32.24,6.47
ACGALK2,28.5,6.87
ACGALtlg_for,0,0
ACGALtly,0,0
ACGAM2E_for,3.72,3.34
ACGAM6PSi,22.61,8.34
ACGAMK,27.63,6.5
ACGAMPM_for,4.62,4.73
ACGAMtly,0,0
ACGBGBSIDEtg_for,0,0
ACGBGBSIDEtl_for,0,0
ACGPID,-999999,0
ACGSm,27,7.41
ACHEe,20.76,5.02
ACHtn_for,0,0
ACHVESSEC,11.33,4.76
ACITL,2.32,0.7
ACN13ACNGALGBSIDEte_for,0,0
ACN13ACNGALGBSIDEtg_for,0,0
ACN23ACNGALGBSIDEte_for,0,0
ACN23ACNGALGBSIDEtg_for,0,0
ACNACNGAL14ACGLCGALGLUSIDEte_for,0,0
ACNACNGAL14ACGLCGALGLUSIDEtg_for,0,0
ACNACNGALGBSIDEte_for,0,0
ACNACNGALGBSIDEtg_for,0,0
ACNAM9PL,-66.68,5.36
ACNAM9PL2,-999999,0
ACNAMlt_for,0,0
ACNAMPH,-12.24,3.45
ACNAMtn,0,0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_for,0,0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_for,0,0
ACNMLr_for,7.87,1.43
ACOAD10m,37.9,5.9
ACOAD1fm,33.36,6.51
ACOAD8m,37.9,5.9
ACOAD9m,32.75,5.29
ACOAHi,11.16,4.8
ACOAO7p,-56.31,7.63
ACOATA_for,-999999,0
ACODA,-10.54,5.88
ACONT_for,7.63,0.53
ACONTm_for,7.63,0.53
ACOX22x,-206.42,6.38
ACOX2x,-377.46,7.98
ACP1_FMN_,-31.65,3.59
ACRNtm,0,0
ACS,-15.14,0.65
ACS2,-10.34,4.73
ACSm,-15.14,0.65
ACSOMT,-999999,0
ACSRTNMT,-999999,0
ACt2m_for,0,0
ACt2r_for,0,0
ACtg_for,0,0
ACTLMO,-489.3,7.68
ACTNMO,-421.26,7.7
ACYP,-5.67,4.81
ADA,-59.51,7
ADAe,-59.51,7
ADCim,-59.06,8.15
ADEt_for,0,0
ADEtl_for,0,0
ADHAPtx_for,0,0
ADK1_for,1.88,0.26
ADK1m_for,1.88,0.26
ADK3_for,5.56,2.15
ADK3m_for,5.56,2.15
ADKd_for,-0.64,2.37
ADMDC,-55.9,6.98
ADNCYC,-2.12,1.6
ADNK1,24.77,5.26
ADNK1m,24.77,5.26
ADNt_for,0,0
ADNt4,0,0
ADNtl_for,0,0
ADNtm_for,0,0
ADPGLC,57.57,9.71
ADPMAN,57.57,9.71
ADPRDP,58.41,11.99
ADPRDPm,58.41,11.99
ADPRIBt,0,0
ADPT,-35.14,2.16
ADPtx_for,0,0
ADRNCOAtx_for,0,0
ADRNCPT1,-6.88,3.21
ADRNCPT2,6.88,3.21
ADRNCRNt,0,0
ADRNLPVESSEC,11.33,4.76
ADRNt_for,0,0
ADSELK,-999999,0
ADSK,26.22,12.76
ADSL1,5.53,2.22
ADSL2,8.83,4.73
ADSS,95.64,10.07
AFLATOXINte_for,0,0
AG13T10g,-999999,0
AG13T11g,-999999,0
AG13T12g,-999999,0
AG13T13g,-999999,0
AG13T14g,-999999,0
AG13T15g,-999999,0
AG13T16g,-999999,0
AG13T17g,-999999,0
AG13T18g,-999999,0
AG13T1g,-999999,0
AG13T2g,-999999,0
AG13T3g,-999999,0
AG13T4g,-999999,0
AG13T5g,-999999,0
AG13T6g,-999999,0
AG13T7g,-999999,0
AG13T8g,-999999,0
AG13T9g,-999999,0
AGDC,-11.44,6.89
AGLPC,-999999,0
AGLPED,-999999,0
AGLPET,-999999,0
AGLPH,-999999,0
AGLPR,-999999,0
AGLPT,-999999,0
AGMTm,-72.12,10.04
AGPAT1,-999999,0
AGPex_for,0,0
AGPRim,-57.99,5.81
AGPSx,-999999,0
AGTim,-7.9,2.66
AGTix,-7.9,2.66
AHANDROSTANGLCte,11.33,4.76
AHANDROSTANGLCtr_for,0,0
AHC_for,34.74,4.73
AHCYStn_for,0,0
AHCYStr_for,0,0
AHEXASE2ly,-999999,0
AHEXASEly,-999999,0
AICART_for,9.24,4.73
AIRCr_for,44.63,8.37
AK2LGCHOLt_for,0,0
AKGDm,-24.34,6.27
AKGMALtm_for,0,0
AKGt4_3_for,0,0
AKGtp_for,0,0
AKR1C1,-59.35,5.12
AKR1C41,-41.99,5.75
AKR1C42,-41.99,5.75
AKR1D,-91.46,16.65
AKR1D2,-91.46,16.65
ALAASNNaEx,0,0
ALACYSNaEx,0,0
ALADGLNexR_for,0,0
ALADGLYexR_for,0,0
ALAGLNexR_for,0,0
ALAGLNNaEx,0,0
ALAGLYexR_for,0,0
ALAR_for,-0.04,1.62
ALASERNaEx,0,0
ALASm,-36.55,8.4
ALAt2r_for,0,0
ALAt2rL_for,0,0
ALAt4,0,0
ALATA_L_for,-1.46,0.86
ALATHRNaEx,0,0
ALAtN1_for,0,0
ALCD1_for,74.68,7.12
ALCD21_D,74.87,5.32
ALCD21_L,74.87,5.32
ALCD22_D,46.96,6.04
ALCD22_L,46.96,6.04
ALCD2if,64.13,4.76
ALCD2yf,67.56,4.79
ALDD20x,46.17,9.69
ALDD20xm,46.17,9.69
ALDD21,46.17,9.69
ALDD2x,36.25,9.69
ALDD2xm,36.25,9.69
ALDD2y,39.68,9.7
ALDSTRNte_for,0,0
ALDSTRNtm_for,0,0
ALKP,-12.2,3.51
ALOX12,-999999,0
ALOX12R,-999999,0
ALOX15,-999999,0
ALOX5,-999999,0
ALOX52,-999999,0
ALR2,-61.32,5.63
ALR3,-67.38,5.56
AMACR2p,-169.78,4.44
AMACR2r,-169.78,4.44
AMACRp,0,0
AMACRr,0,0
AMANK,26.08,7.07
AMCOXO,-999999,0
AMETr_for,0,0
AMETt2m_for,0,0
AMETtn_for,0,0
AMPDA,-66.47,7.55
AMPTASECG,-6.11,9.13
AMPTASECGe,-6.11,9.13
AMPtp_for,0,0
AMPtr_for,0,0
AMY1e,-999999,0
AMY2e,-999999,0
ANDRSTRNGLCte,11.33,4.76
ANDRSTRNGLCtr_for,0,0
ANDRSTRNte_for,0,0
ANDRSTRNtr_for,0,0
ANTIPYRENEte_for,0,0
AOBUTDsm,-55.9,6.98
AP4AH1,62.73,15.83
APAT2rm_for,-5.44,4.81
APNNOXte_for,0,0
APOCF,-999999,0
APOCFm,-999999,0
APOC_LYS_BTNP,-999999,0
APOC_LYS_BTNPm,-999999,0
APPNNte_for,0,0
APRGSTRNte_for,0,0
APRTO2,-89.02,8.97
AQCOBALt,0,0
ARAB_Lt_for,0,0
ARABR,-51.86,6.15
ARACHCOAtx_for,0,0
ARACHCPT1,-6.88,3.21
ARACHCPT2,6.88,3.21
ARACHCRNt,0,0
ARACHDCOAtx_for,0,0
ARACHDt2_for,0,0
ARACHDtr_for,0,0
ARACHt_for,0,0
ARGDCm,-29.31,10.8
ARGLYSex,0,0
ARGN,-23.03,10.22
ARGNm,-23.03,10.22
ARGSL_for,14.86,4.73
ARGSS,32.81,5.29
ARGt4,0,0
ARGtiDF,-999999,0
ARGtm_for,0,0
ARSA,-999999,0
ARTCOAL1,-999999,0
ARTCOAL2,-999999,0
ARTCOAL3,-999999,0
R_group_phosphotase_1,-999999,0
R_group_phosphotase_2,-999999,0
R_group_phosphotase_3,-999999,0
ARTFR11,-999999,0
ARTFR12,-999999,0
ARTFR13,-999999,0
ARTFR202,-999999,0
ARTFR203,-999999,0
ARTFR204,-999999,0
ARTFR205,-999999,0
ARTFR206,-999999,0
ARTFR207,-999999,0
ARTFR208,-999999,0
ARTFR209,-999999,0
ARTFR210,-999999,0
ARTFR211,-999999,0
ARTFR212,-999999,0
ARTFR213,-999999,0
ARTFR31,-999999,0
ARTFR32,-999999,0
ARTFR33,-999999,0
ARTFR34,-999999,0
ARTFR41,-999999,0
ARTFR42,-999999,0
ARTFR43,-999999,0
ARTFR44,-999999,0
ARTFR45,-999999,0
ARTFR46,-999999,0
ARTFR51,-999999,0
ARTFR52,-999999,0
ARTFR53,-999999,0
ARTFR54,-999999,0
ARTFR55,-999999,0
ARTFR56,-999999,0
ARTFR57,-999999,0
ARTFR61,-999999,0
ARTPLM1,-999999,0
ARTPLM1m,-999999,0
ARTPLM2,-999999,0
ARTPLM2m,-999999,0
ARTPLM3,-999999,0
ARTPLM3m,-999999,0
ASAH1,-999999,0
ASCBOX,-999999,0
ASCBt_for,0,0
ASCBt4_for,0,0
ASNALANaEx,0,0
ASNCYSNaEx,0,0
ASNGLNNaEx,0,0
ASNNm,-12.37,7.12
ASNS1,1.31,7.56
ASNSERNaEx,0,0
ASNt4,0,0
ASNTHRNaEx,0,0
ASNtm,0,0
ASNtN1_for,0,0
Asn_X_Ser_Thrtr_for,0,0
ASP1DC,-62.09,10.75
ASPCTr_for,22.49,6.69
ASPDt6,0,0
ASPDxt_for,0,0
ASPGLUm,0,0
ASPNATm,33.13,6.72
ASPt6,0,0
ASPTA_for,2.81,0.88
ASPTAm_for,2.81,0.88
ATP1ter_for,0,0
ATP2ter_for,0,0
ATPasel,11.33,4.76
ATPH1e,20.78,9.51
ATPH2e,9.45,4.76
ATPS4m,-11.33,4.76
ATPtm,0,0
ATPtn_for,0,0
ATPtx_for,0,0
AVITE1t,0,0
AVITE2t,0,0
B_MANNASEly,-5.02,4.37
B3GALT3g,-999999,0
B3GALT41g,-999999,0
B3GALT42g,-999999,0
B3GALT43g,-999999,0
B3GALT44g,-999999,0
B3GALT5g,-999999,0
B3GALTg,-999999,0
B3GNT11g,-999999,0
B3GNT12g,-999999,0
B3GNT310g,-999999,0
B3GNT311g,-999999,0
B3GNT312g,-999999,0
B3GNT313g,-999999,0
B3GNT314g,-999999,0
B3GNT315g,-999999,0
B3GNT31g,-999999,0
B3GNT32g,-999999,0
B3GNT33g,-999999,0
B3GNT34g,-999999,0
B3GNT35g,-999999,0
B3GNT36g,-999999,0
B3GNT37g,-999999,0
B3GNT39g,-999999,0
B3GNT51g,-999999,0
BAAT1x,45.02,4.9
BAAT2x,-999999,0
BAAT3x,45.02,4.9
BAAT4x,45.02,4.9
BACCL,-999999,0
BACCLm,-999999,0
BALAtmr_for,0,0
BALAVECSEC,11.33,4.76
BAMPPALDOX,43.45,13.77
BAMPPALDOXm,43.45,13.77
BBHOX,-451.59,7.91
BCDO,-369.05,8.85
BDG2HCGHD,40.06,7.05
BDHm_for,53.93,4.88
BDMT_L,-999999,0
BDMT_U,-999999,0
BETALDHxm,46.17,9.69
BHBt_for,0,0
BHBtm_for,0,0
BHMT,-999999,0
BILDGLCURt_for,0,0
BILDGLCURte,11.33,4.76
BILDGLCURtr_for,0,0
BILGLCURt_for,0,0
BILGLCURte,11.33,4.76
BILGLCURtr_for,0,0
BILIRED,18.77,17.42
BILIRUBt2_for,0,0
BILIRUBtr_for,0,0
BIOCYTtn_for,0,0
BMTer_L,-999999,0
BMTer_U,-999999,0
BPNT,-14.09,6.2
BPNT2,-14.89,11.84
BTND1,0.72,4.72
BTND1n,0.72,4.72
BTNDe,0.72,4.72
BTNDm,0.72,4.72
BTNPL,-999999,0
BTNPLm,-999999,0
BTNt2_for,0,0
BTNt2m_for,0,0
BTNt3i,11.33,4.76
BTNt4i,0,0
BTNtn_for,0,0
BUP2,-134.49,13.39
BUTt2m_for,0,0
BUTt2r_for,0,0
BVITEt,0,0
BZt_for,0,0
BZtr_for,0,0
C14STRr,-91.46,16.65
C160CPT1,1.98,4.73
C160CPT2,-1.98,4.73
C160CRNt,0,0
C161CPT1,-6.88,3.21
C161CPT12,-6.88,3.21
C161CPT2,6.88,3.21
C161CPT22,6.88,3.21
C161CRN2t,0,0
C161CRNt,0,0
C180CPT1,-6.88,3.21
C180CPT2,6.88,3.21
C180CRNt,0,0
C181CPT1,-999999,0
C181CPT2,-999999,0
C181CRNt,0,0
C204CPT1,-999999,0
C204CPT2,-999999,0
C204CRNt,0,0
C226COAtx_for,0,0
C226CPT1,-6.88,3.21
C226CPT2,6.88,3.21
C226CRNt,0,0
C2M26DCOAHLm_for,1.26,3.8
C2M26DCOAHLx_for,1.26,3.8
C3STDH1Pr,-27.62,8.81
C3STDH1r,-31.05,8.8
C3STKR2r,-45.42,9.49
C4STMO1r,-1413.66,20.74
C4STMO2Pr,-370.88,8.53
C4STMO2r,-374.31,8.52
CAATPS,11.33,4.76
CAMPt,11.33,4.76
CAROtr_for,0,0
CARVEOLte_for,0,0
CAT2p,-304.19,5.28
CAt7r_for,0,0
CATm,-192.89,10.88
CATp,-192.89,10.88
CBL2OR,-999999,0
CBL2tm,0,0
CBLATm_for,-999999,0
CBPPer,-71.15,9.49
CBPS,58.84,10.38
CBPSam,65.92,11.43
CBPter_for,0,0
CBR1,-47.67,5.49
CBR2,-45.42,5.76
CCA_D3t,0,0
CCA_D3tm,0,0
CDIPTr_for,-999999,0
CDPDAGtm_for,0,0
CDS,-999999,0
CDSm,-999999,0
CEPTC,-999999,0
CEPTE,-999999,0
CERK,-999999,0
CERT1gt_for,0,0
CERT1rt_for,0,0
CERT2gt_for,0,0
CERT2rt_for,0,0
CGLYt3_2_,0,0
CGMPt,11.33,4.76
CH25H,-450.36,7.01
CHAT_for,-9.59,1.6
CHATn_for,-9.59,1.6
CHLP,-5.51,0.66
CHLPCTD,-51.4,6.69
CHLtm_for,0,0
CHOLATEt_for,0,0
CHOLATEt2,0,0
CHOLATEt3,11.33,4.76
CHOLD2m,-6.23,5.22
CHOLK,16.84,4.8
CHOLPtg_for,0,0
CHOLPtl_for,0,0
CHOLt4_for,0,0
CHOLtg_for,0,0
CHOLtn_for,0,0
CHOLtr_for,0,0
CHOLtu_for,0,0
CHSTEROLSULT,-999999,0
CHSTEROLt,11.33,4.76
CHSTEROLt1_for,0,0
CHSTEROLt2_for,0,0
CHSTEROLt3_for,0,0
CHSTEROLtg,11.33,4.76
CHTNASE,-18.72,9.77
CHTNASEe,-18.72,9.77
CITL,2.16,0.77
CITMCOAHm_for,-0.13,3.23
CITMCOALm,11.16,3.1
CITRtm_for,0,0
CITt4_2_for,0,0
CITtam_for,0,0
CITtbm_for,0,0
CK_for,1.99,0.34
CKc_for,1.99,0.34
CLFORtex,0,0
CLHCO3tex2,0,0
CLI2tex,0,0
CLOHtex2,0,0
CLOXAtex2,0,0
CLPNDCOAtx_for,0,0
CLPNDCPT1,-6.88,3.21
CLPNDCPT2,6.88,3.21
CLPNDCRNt,0,0
CLPNDt_for,0,0
CLS_hs,-999999,0
CMPACNAtg_for,0,0
CMPACNAtn,0,0
CMPSAS,-999999,0
CMPSASn,-999999,0
CO2t_for,0,0
CO2ter_for,0,0
CO2tg_for,0,0
CO2tm_for,0,0
CO2tn_for,0,0
CO2tp_for,0,0
COAtg_for,0,0
COAtl_for,0,0
COAtm_for,0,0
COAtn_for,0,0
COAtp_for,0,0
COAtr_for,0,0
COKECBESr,26.95,6.64
COQ3m,-999999,0
COQ5m,-999999,0
COQ6m,-304.38,11.66
COQ7m,-493.06,8.53
CORE2GTg,-999999,0
CORE3GTg,-999999,0
CORE4GTg,-999999,0
CORE5GTg,-999999,0
CORE6GTg,-999999,0
CORE7GTg,-999999,0
CORE8GTg,-999999,0
COt_for,0,0
COUCOAFm,-22.73,2.76
COUMARINte_for,0,0
CPCTDTX,-999999,0
CPPPGO,-441.2,16.21
CREATt4_2_r_for,0,0
CREATtmdiffir,0,0
CRMPte_for,0,0
CRNCAR3tp,0,0
CRNCARtp,0,0
CRNt_for,0,0
CRNtHa,0,0
CRNtim,0,0
CRNtuNa,0,0
CRNtx_for,0,0
CRTNsyn,6.6,8.3
CRTSLt_for,0,0
CRTSLtm_for,0,0
CRTSLtr_for,0,0
CRTSTRNt_for,0,0
CRTSTRNtm_for,0,0
CRTSTRNtr_for,0,0
CRVNCtr_for,0,0
CSAPASEly,-999999,0
CSBPASEly,-999999,0
CSCPASEly,-999999,0
CSDPASEly,-999999,0
CSEPASEly,-999999,0
CSm,9.01,4.78
CSNAT2m_for,0.48,4.73
CSNAT2x_for,-6.88,3.21
CSNAT3x_for,-0.48,4.73
CSNATer_for,-1.11,2.37
CSNATm_for,1.11,2.37
CSNATp_for,-1.11,2.37
CSNATr_for,-1.11,2.37
CSND,-79.27,8.02
CSNt_for,0,0
CSPG_At,0,0
CSPG_Atly,0,0
CSPG_Bt,0,0
CSPG_Btly,0,0
CSPG_Ct,0,0
CSPG_Ctly,0,0
CSPG_Dt,0,0
CSPG_Dtly,0,0
CSPG_Et,0,0
CSPG_Etly,0,0
CTPS1,79.2,11.64
CTPS2,72.12,10.74
CTPtn_for,0,0
CYANt_for,0,0
CYANtm_for,0,0
CYOOm2,-999999,0
CYOR_u10m,-999999,0
CYSALANaEx,0,0
CYSASNNaEx,0,0
CYSGLNNaEx,0,0
CYSGLTH_for,24.97,10.69
CYSGLUexR_for,0,0
CYSGLYexR_for,0,0
CYSLYSL,14.01,15.8
CYSO,-999999,0
CYSSERNaEx,0,0
CYSt4,0,0
CYSTA_for,-17.65,8.76
CYSTAm_for,-17.65,8.76
CYStec_for,0,0
CYSTGL,46.16,12.21
CYSTGLUex,0,0
CYSTHRNaEx,0,0
CYSTS,-52.58,5.07
CYSTSERex,0,0
CYTD,-59.5,7.15
CYTDK1,25.22,6.96
CYTDK2m,25.22,6.96
CYTDn,-59.5,7.15
CYTDt_for,0,0
CYTDt4,0,0
CYTDtl_for,0,0
CYTDtm_for,0,0
CYTDtn_for,0,0
CYTK1_for,4.11,4.73
CYTK10_for,4.72,6.5
CYTK10n_for,4.72,6.5
CYTK11_for,3.59,6.5
CYTK11n_for,3.59,6.5
CYTK12_for,1.33,8.04
CYTK12n_for,1.33,8.04
CYTK13_for,0.3,5.49
CYTK13n_for,0.3,5.49
CYTK14_for,3.82,5.15
CYTK14n_for,3.82,5.15
CYTK1m_for,4.11,4.73
CYTK1n_for,4.11,4.73
CYTK2_for,2.98,4.73
CYTK2n_for,2.98,4.73
CYTK3_for,7.79,5.2
CYTK3n_for,6.65,6.42
CYTK4_for,6.65,5.2
CYTK4n_for,6.65,5.2
CYTK5_for,6.65,6.42
CYTK5n_for,7.79,5.2
CYTK6_for,7.79,7.98
CYTK6n_for,7.79,7.98
CYTK7_for,4.96,5.15
CYTK7n_for,4.96,5.15
CYTK8_for,1.43,5.49
CYTK8n_for,1.43,5.49
CYTK9_for,2.46,6.5
CYTK9n_for,2.46,6.5
D_3AIBt,0,0
D3AIBTm_for,2.81,3.65
DADA,-56.96,8.73
DADAe,-56.96,8.73
DADNK,33.5,6.53
DADNt4_for,0,0
DAG_HSter,0,0
DAGK_hs_for,-999999,0
DAGKn_hs_for,-999999,0
DAGt_for,0,0
DALAOXx,-90.64,8.64
DALAt2r_for,0,0
DALAt2rL_for,0,0
DALAxt,0,0
DARGOp,-71.31,11.36
DASCBH,48.35,8.53
DASCBR,-999999,0
DASPO1p,-86.41,8.5
DATPtn_for,0,0
DCIm_for,0,0
DCK1m_for,26.99,6.4
DCK1n_for,26.99,6.4
DCK2n_for,27.84,6.71
DCMPDA_for,-68.27,8.14
DCSPTN1COAtx_for,0,0
DCSPTN1CPT1,-6.88,3.21
DCSPTN1CPT2,6.88,3.21
DCSPTN1CRNt,0,0
DCSPTN1t_for,0,0
DCT_for,-999999,0
DCTPtn_for,0,0
DCYTD,-68.18,7.7
DCYTDn,-68.18,7.7
DCYTt_for,0,0
DDPGAm_for,16.65,2.45
DEBRISOQUINEt_for,0,0
DECDPtm_for,0,0
DEDOLP1_L,-999999,0
DEDOLP1_U,-999999,0
DEDOLP2_L,-999999,0
DEDOLP2_U,-999999,0
DEDOLR_L,-999999,0
DEDOLR_U,-999999,0
DESAT16_2,-424.63,7.94
DESAT18_10,-429.05,7.56
DESAT18_3,-429.05,7.56
DESAT18_4,-999999,0
DESAT18_5,-429.05,7.56
DESAT18_6,-999999,0
DESAT18_7,-999999,0
DESAT18_8,-999999,0
DESAT18_9,-429.05,7.56
DESAT20_1,-429.05,7.56
DESAT20_2,-429.05,7.56
DESAT22_1p,-429.05,7.56
DESAT22_2p,-429.05,7.56
DESAT24_1,-429.05,7.56
DGAT,-999999,0
DGCHOLte_for,0,0
DGCHOLtx_for,0,0
DGK1_for,7.5,4.73
DGK2m_for,4.82,5.49
DGNSKm,24.73,6.4
DGSNt_for,0,0
DGSNtm_for,0,0
DGTPtn_for,0,0
DGULND_for,-52.56,6.93
DHAAt1r_for,0,0
DHAPA,-999999,0
DHAPAx,-999999,0
DHCHOLESTANATEtm_for,0,0
DHCR241r,-37.9,9.58
DHCR242r,-37.9,9.58
DHCR243r,-37.9,5.9
DHCR71r,-91.46,16.65
DHCR72r,-91.46,16.65
DHCRD1,-999999,0
DHCRD2,-999999,0
DHDPBMTm,-999999,0
DHEASt_for,0,0
DHEAStr_for,0,0
DHEASULT,-999999,0
DHEAtr_for,0,0
DHFR_for,-72.06,5.06
DHFtl_for,0,0
DHFtm_for,0,0
DHORD9,-115.16,12.46
DHORTS_for,38.85,5.46
DHPM1,33.28,5.46
DHPM2,47.88,7.37
DHPR,-999999,0
DHPR2,-999999,0
DIDPtn_for,0,0
DIGALSGALSIDEte_for,0,0
DIGALSGALSIDEtg_for,0,0
DIGALSIDEtg_for,0,0
DIGALSIDEtl_for,0,0
DINt_for,0,0
DITPtn_for,0,0
DKMPPD,-440.29,11.2
